"Objective_function","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Main_RecrDev_2011","Main_RecrDev_2012"
277.794,-0.141164,0.0321559,-0.234634,0.129445,-0.370806,0.269954,0.265736,0.184512,0.039328,0.0519352,-0.364636,-0.182445,0.194754,-0.163687,-0.0218839,-0.445553,0.12624,0.518242,0.112505
277.407,-0.188967,0.0397451,-0.257335,0.136275,-0.34577,0.285031,0.259539,0.171851,0.023014,0.0647709,-0.353626,-0.197625,0.201664,-0.158624,-0.013648,-0.466926,0.130621,0.529726,0.140282
278.555,-0.17999,0.0377643,-0.267776,0.12451,-0.351548,0.300248,0.268519,0.184594,0.0256428,0.0548158,-0.324014,-0.190094,0.202413,-0.129107,-0.0308464,-0.472899,0.119366,0.507183,0.121218
279.413,-0.175063,0.0123682,-0.270559,0.122397,-0.36307,0.300386,0.249285,0.196139,0.0177025,0.062588,-0.319752,-0.165478,0.195613,-0.142795,-0.0304907,-0.462134,0.120493,0.524675,0.127696
279.331,-0.176602,0.00494404,-0.275082,0.107586,-0.371059,0.302437,0.244746,0.205038,0.027673,0.0724049,-0.3036,-0.159479,0.196197,-0.138877,-0.0233911,-0.46845,0.122844,0.517566,0.115103
274.268,-0.180767,0.012468,-0.270606,0.105468,-0.371568,0.301848,0.244159,0.210581,0.0246078,0.0658218,-0.298829,-0.163019,0.198426,-0.143487,-0.0331523,-0.471537,0.113815,0.511415,0.144356
274.209,-0.176,0.00743842,-0.282217,0.0895053,-0.371205,0.290261,0.24912,0.225817,0.0254498,0.0579396,-0.290883,-0.157514,0.20137,-0.137519,-0.0465379,-0.469591,0.110791,0.535203,0.138573
273.738,-0.183289,0.0408994,-0.277772,0.0825675,-0.3406,0.281623,0.257647,0.237435,0.0250299,0.0632402,-0.293839,-0.159332,0.194523,-0.124312,-0.0583185,-0.494771,0.0948767,0.522028,0.132364
279.488,-0.162914,0.0370618,-0.294401,0.0877322,-0.323945,0.271021,0.26854,0.239454,0.0254501,0.0687098,-0.305873,-0.151046,0.209576,-0.150488,-0.0712452,-0.510184,0.0816574,0.559818,0.121077
278.195,-0.150486,0.0302451,-0.299177,0.0728492,-0.315638,0.261252,0.250262,0.229688,0.0273149,0.0733561,-0.302189,-0.138487,0.213851,-0.14789,-0.0675673,-0.509333,0.0881493,0.561478,0.122321
278.194,-0.138101,0.00900134,-0.295029,0.0658637,-0.307373,0.271168,0.238209,0.232315,0.0202574,0.0740162,-0.30748,-0.140669,0.21993,-0.138762,-0.060431,-0.505225,0.0879528,0.556011,0.118346
275.217,-0.141129,0.00738669,-0.305524,0.0679021,-0.309046,0.278347,0.244056,0.247841,0.0282242,0.0782263,-0.312256,-0.139993,0.221286,-0.136951,-0.0656649,-0.509352,0.0758882,0.547764,0.122994
277.38,-0.135086,0.0169977,-0.295621,0.0738293,-0.280375,0.271105,0.243682,0.246731,0.0299036,0.0602613,-0.310277,-0.15054,0.227497,-0.157307,-0.0618424,-0.517702,0.0786317,0.551948,0.108165
274.027,-0.116227,0.0424699,-0.29821,0.0961744,-0.280178,0.256592,0.239224,0.237933,0.0167109,0.0459622,-0.316134,-0.133601,0.241558,-0.169586,-0.069645,-0.513809,0.0649889,0.544858,0.110919
273.954,-0.121391,0.0568161,-0.300559,0.0808736,-0.279638,0.255202,0.251392,0.245775,0.00635519,0.050003,-0.315065,-0.12686,0.239108,-0.172475,-0.0764277,-0.511726,0.0531733,0.558465,0.106976
271.749,-0.135869,0.0705879,-0.301722,0.0824278,-0.29168,0.257447,0.252131,0.240632,0.0143008,0.054808,-0.319729,-0.122765,0.236456,-0.165834,-0.0789362,-0.511244,0.0534863,0.561892,0.10361
270.627,-0.138287,0.0600247,-0.318656,0.0725021,-0.295812,0.260645,0.262157,0.248553,0.0141411,0.0657933,-0.316216,-0.130172,0.254473,-0.162529,-0.0868169,-0.512106,0.0750124,0.542815,0.104478
274.291,-0.120889,0.042541,-0.284827,0.100318,-0.303375,0.257258,0.251026,0.258872,0.00623303,0.0709985,-0.310393,-0.142051,0.238234,-0.171144,-0.10277,-0.50437,0.0716147,0.520804,0.121919
274.349,-0.140484,0.0422895,-0.276671,0.0877219,-0.260432,0.263495,0.263983,0.243437,-0.00639508,0.0952055,-0.336951,-0.148576,0.241766,-0.169372,-0.097189,-0.510471,0.0774168,0.491939,0.139286
275.183,-0.100642,0.0544847,-0.262506,0.112195,-0.262361,0.255698,0.250185,0.256875,-0.00696682,0.0869904,-0.347101,-0.146741,0.229839,-0.184557,-0.101389,-0.528775,0.0682239,0.484857,0.14169
274.176,-0.0933036,0.0617677,-0.247644,0.117489,-0.245694,0.264583,0.240045,0.245921,-0.0158096,0.0944905,-0.343964,-0.140644,0.229917,-0.176846,-0.102942,-0.521991,0.079677,0.460423,0.0945248
276.904,-0.102295,0.0752794,-0.22906,0.106387,-0.237212,0.266444,0.23077,0.248439,-0.0114569,0.107346,-0.334922,-0.138006,0.237577,-0.167107,-0.114722,-0.535583,0.0535334,0.478717,0.0658715
275.995,-0.124019,0.0694755,-0.216176,0.0972751,-0.233187,0.273186,0.213283,0.251515,-0.00802551,0.0974909,-0.333916,-0.121708,0.243081,-0.154382,-0.122945,-0.541601,0.0555307,0.471738,0.0833844
276.55,-0.101494,0.0511451,-0.23459,0.099548,-0.215965,0.275447,0.231037,0.252252,-0.000538565,0.0927766,-0.337875,-0.122905,0.248815,-0.138607,-0.154294,-0.560128,0.0682312,0.480206,0.0669378
276.039,-0.0995912,0.0307532,-0.227543,0.0955951,-0.191714,0.287619,0.236772,0.230855,0.0104919,0.0955011,-0.331012,-0.112944,0.249906,-0.133015,-0.16093,-0.563181,0.0538638,0.496816,0.0317583
274.751,-0.105882,0.0315533,-0.222691,0.0833244,-0.20308,0.285641,0.243707,0.222137,0.0162723,0.0906239,-0.336095,-0.107054,0.266214,-0.119647,-0.152001,-0.556883,0.0584542,0.495018,0.0103881
276.651,-0.106384,0.0304412,-0.218363,0.0867565,-0.186152,0.287765,0.255228,0.237043,0.00178,0.0856678,-0.32959,-0.127776,0.259807,-0.105085,-0.142934,-0.563815,0.0441302,0.493648,-0.00216697
273.934,-0.0893981,0.0481768,-0.212346,0.0890836,-0.184817,0.283038,0.255325,0.233565,0.0071106,0.0806534,-0.344326,-0.133867,0.254267,-0.114407,-0.142438,-0.557254,0.0425384,0.480475,0.00462037
275.526,-0.0894265,0.0407409,-0.207699,0.0825007,-0.187465,0.279002,0.257849,0.234511,0.00285133,0.0787144,-0.336891,-0.132537,0.254076,-0.111725,-0.1392,-0.557285,0.050823,0.475865,0.00529448
275.839,-0.106871,0.0442332,-0.216038,0.0860204,-0.197192,0.296479,0.260979,0.233661,0.00376371,0.0878177,-0.339259,-0.138338,0.262944,-0.107488,-0.149911,-0.556461,0.0598806,0.47411,0.00166979
275.747,-0.103804,0.0453689,-0.221716,0.0843002,-0.196637,0.296472,0.258077,0.23233,-0.00381669,0.0925647,-0.338214,-0.139346,0.268582,-0.0996349,-0.156965,-0.545875,0.0655607,0.476426,-0.013673
277.08,-0.0935472,0.0171886,-0.233073,0.100262,-0.1693,0.274543,0.251282,0.236978,0.0046504,0.0854794,-0.336905,-0.137062,0.268455,-0.0923871,-0.149496,-0.546124,0.0658767,0.456262,-0.00308272
277.652,-0.0911226,0.0197927,-0.24093,0.10605,-0.179633,0.266463,0.254696,0.242525,-0.00255069,0.0780627,-0.339314,-0.137401,0.268147,-0.0840845,-0.167013,-0.536769,0.071503,0.44273,0.0288491
279.453,-0.0992383,0.0296954,-0.234624,0.0961343,-0.16325,0.2687,0.24433,0.240442,-0.00978161,0.0855025,-0.346142,-0.149963,0.267947,-0.0899063,-0.150085,-0.540596,0.0617384,0.457296,0.0318007
283.539,-0.119137,0.0245679,-0.208479,0.117282,-0.159515,0.253563,0.244122,0.260359,-0.0161666,0.0966913,-0.329411,-0.166458,0.268557,-0.0905556,-0.164155,-0.540089,0.0702202,0.455681,0.00292354
284.091,-0.129557,0.0250934,-0.203768,0.133288,-0.155616,0.237353,0.239174,0.278378,-0.0182563,0.109669,-0.330066,-0.158084,0.281749,-0.104771,-0.160495,-0.547703,0.0570183,0.453743,-0.00714956
282.76,-0.152266,0.0144822,-0.191966,0.145029,-0.137108,0.242167,0.214255,0.285953,-0.028335,0.109529,-0.316446,-0.150414,0.292165,-0.120634,-0.159733,-0.540532,0.0359519,0.470091,-0.0121886
282.2,-0.153215,0.00372726,-0.183893,0.123916,-0.156978,0.248542,0.201509,0.307828,-0.0181761,0.111806,-0.294427,-0.147583,0.295115,-0.120762,-0.177989,-0.511255,0.0345349,0.469008,-0.0317089
278.86,-0.147166,-0.0209791,-0.200245,0.137772,-0.164512,0.256512,0.197597,0.303172,-0.0182064,0.109888,-0.293985,-0.144351,0.298647,-0.114192,-0.188808,-0.502779,0.0279264,0.469937,-0.00622712
280.397,-0.16656,-0.04159,-0.216171,0.121326,-0.173174,0.279488,0.215216,0.327182,-0.0315237,0.0860829,-0.283863,-0.149602,0.301636,-0.12029,-0.18141,-0.480657,0.0413498,0.483737,-0.0111751
277.92,-0.167951,-0.0596116,-0.213155,0.133301,-0.172341,0.279738,0.223814,0.288415,-0.0444355,0.0888441,-0.285861,-0.145241,0.299758,-0.120457,-0.172699,-0.47027,0.0368308,0.474836,0.026485
277.012,-0.123904,-0.0614727,-0.212773,0.13716,-0.164333,0.283899,0.201414,0.305628,-0.0597482,0.0771924,-0.283697,-0.143741,0.289638,-0.1392,-0.160581,-0.455356,0.0225231,0.470821,0.01653
274.839,-0.130241,-0.0584866,-0.201309,0.132096,-0.175244,0.283028,0.200635,0.307239,-0.0581863,0.0904222,-0.289844,-0.149239,0.291569,-0.137002,-0.167452,-0.453537,0.00882234,0.483688,0.0230438
273.499,-0.161251,-0.0523377,-0.205686,0.11951,-0.19062,0.297347,0.183383,0.304074,-0.062837,0.0914336,-0.277576,-0.164075,0.293605,-0.121242,-0.176169,-0.439978,0.0221077,0.481502,0.0588094
276.318,-0.176752,-0.0602448,-0.202415,0.125188,-0.197556,0.294751,0.169228,0.310701,-0.0543915,0.0855081,-0.275766,-0.160393,0.291274,-0.125079,-0.166478,-0.443504,0.0124113,0.495173,0.0783452
