"SR_LN(R0)","SR_BH_steep","Main_RecrDev_2008"
10.3626,0.606053,0.0665869
10.3626,0.606053,0.0665869
10.3662,0.603682,0.0723912
10.3662,0.603682,0.0723912
10.3683,0.602738,0.0774612
10.3586,0.600902,0.0667154
10.3507,0.602722,0.0718538
10.346,0.605975,0.0679669
10.3301,0.605741,0.0663562
10.3285,0.604676,0.0735387
10.3321,0.602983,0.0673052
10.3262,0.60304,0.0447568
10.3225,0.601819,0.0420664
10.3207,0.603828,0.0531262
10.3292,0.598327,0.0473259
10.327,0.594518,0.0440579
10.3359,0.589768,0.0550315
10.3255,0.592503,0.0599914
10.3318,0.590493,0.0620231
10.3164,0.599077,0.0516239
10.3236,0.599302,0.0421688
10.3101,0.605231,0.0353959
10.328,0.595997,0.0278813
10.324,0.598974,0.0149665
10.3311,0.595937,0.00465502
10.3264,0.599467,0.00635997
10.3364,0.596257,0.0060041
10.3215,0.5971,0.0114488
10.327,0.597547,-0.00977964
10.3216,0.599112,-0.0143487
10.3088,0.603929,-0.0168223
10.2941,0.60448,-0.0257323
10.3159,0.59637,-0.0114256
10.3164,0.594966,-0.0193557
10.3166,0.596041,-0.0254946
10.3188,0.592595,-0.0242204
10.3299,0.590285,-0.0265141
10.3232,0.592274,-0.0205825
10.3099,0.596768,-0.0195003
10.3009,0.598314,-0.0207319
10.3165,0.593704,-0.0364522
10.3063,0.598122,-0.0381144
10.3077,0.59263,-0.0363509
10.3259,0.584768,-0.0430097
10.3347,0.578303,-0.050138
10.3314,0.576955,-0.0456549
10.3506,0.571669,0.00640517
10.3571,0.569021,-0.00290327
10.3631,0.569448,-0.00722229
10.3622,0.573278,-0.0164248
10.3572,0.579133,-0.0280321
10.359,0.581563,-0.037415
10.3525,0.585662,-0.0316193
10.3514,0.585036,-0.0284519
10.3512,0.585086,-0.0260505
10.3379,0.591345,-0.0245049
10.3417,0.591242,-0.0319178
10.3312,0.595734,-0.0346084
10.3346,0.600017,-0.0428143
10.3283,0.602203,-0.0470029
10.3247,0.603108,-0.0367512
10.3246,0.604231,-0.0315837
10.3356,0.60449,-0.048197
10.3187,0.608075,-0.0536824
10.3395,0.605743,-0.03145
10.3523,0.600128,-0.0283362
10.3479,0.599907,-0.0180237
10.3427,0.598517,-0.0301248
10.3329,0.599899,-0.0221881
10.3453,0.598027,-0.0336832
10.3464,0.598879,-0.0374278
10.3412,0.598988,-0.0435322
10.3536,0.595689,-0.0456244
10.3516,0.596406,-0.0399924
10.3602,0.592221,-0.0249762
10.3639,0.591794,-0.0191172
10.3658,0.585832,-0.0246091
10.3651,0.584436,-0.0369524
10.3589,0.586185,-0.028874
10.3454,0.592816,-0.0130296
10.3485,0.594445,-0.00305761
10.3627,0.588361,-0.00592195
10.3585,0.589406,-0.00658431
10.3763,0.584556,-0.0101969
10.3745,0.582533,-0.0173248
10.3695,0.586355,-0.0212171
10.3708,0.58553,-0.0174447
10.3495,0.594672,-0.0175268
10.3619,0.592367,-0.0212146
10.3557,0.595409,-0.0147131
10.3512,0.592905,0.00208642
10.364,0.587795,0.0176492
10.3681,0.584569,-0.00913065
10.3742,0.585237,-0.0402834
10.3751,0.58847,-0.0397893
10.3893,0.58615,-0.0461053
10.4162,0.582071,-0.0551804
10.4215,0.579488,-0.0655048
10.4112,0.583459,-0.0694767
10.4347,0.574265,-0.0772387
10.4396,0.575273,-0.0765916
10.4261,0.577108,-0.0699488
10.4399,0.572806,-0.0728935
10.4209,0.578792,-0.077604
10.4536,0.565425,-0.0878493
10.4434,0.566165,-0.0863038
10.4482,0.562166,-0.0747765
10.452,0.559979,-0.0821534
10.4479,0.562195,-0.0837046
10.4552,0.557659,-0.0849659
10.4718,0.55403,-0.0827493
10.4399,0.563211,-0.0860806
10.4516,0.562768,-0.0856527
10.4484,0.562708,-0.0869947
10.4426,0.566563,-0.0866109
10.4473,0.566316,-0.0787942
10.4468,0.556356,-0.076851
10.4378,0.559594,-0.0636491
10.4428,0.557281,-0.0788159
10.4469,0.553131,-0.0773879
10.4415,0.557346,-0.0893502
10.4319,0.55751,-0.0688062
10.4283,0.560298,-0.0645828
10.4144,0.567166,-0.0775382
10.4181,0.567232,-0.0898742
10.4192,0.569089,-0.0848019
10.3998,0.578383,-0.0959773
10.4054,0.578726,-0.10804
10.3796,0.581468,-0.141478
10.3891,0.57717,-0.17278
10.3939,0.573495,-0.155813
10.3998,0.57083,-0.163976
10.4056,0.573838,-0.154739
10.4133,0.571017,-0.139418
10.411,0.571637,-0.138984
10.4084,0.572965,-0.133664
10.398,0.576404,-0.129147
10.4143,0.573001,-0.144391
10.4032,0.574027,-0.142128
10.405,0.573168,-0.147056
10.4175,0.56859,-0.14481
10.4185,0.566732,-0.150773
10.4251,0.56524,-0.158682
10.4306,0.56302,-0.167587
10.4392,0.56002,-0.154614
10.4255,0.56251,-0.163466
10.4163,0.56489,-0.159496
10.4192,0.563265,-0.147918
10.4183,0.564276,-0.140865
10.4248,0.560889,-0.13944
10.4146,0.566481,-0.125127
10.4111,0.568826,-0.130013
10.4106,0.569195,-0.134019
10.4104,0.571321,-0.137072
10.4091,0.570385,-0.135689
10.4108,0.56824,-0.135812
10.4119,0.565306,-0.118005
10.4134,0.562065,-0.116589
10.4078,0.564959,-0.101613
10.394,0.568141,-0.120638
10.4011,0.56657,-0.133146
10.3942,0.56914,-0.131657
10.411,0.566269,-0.138679
10.4114,0.563776,-0.150182
10.4126,0.557131,-0.136848
10.4241,0.552738,-0.132812
10.4098,0.559905,-0.127604
10.4138,0.559844,-0.130944
10.4142,0.560699,-0.15426
10.4198,0.559714,-0.149882
10.4203,0.560426,-0.150186
10.4129,0.567416,-0.151461
10.4135,0.566374,-0.15164
10.4102,0.56406,-0.143013
10.4007,0.570201,-0.145671
10.3984,0.570487,-0.158985
10.4062,0.569048,-0.157363
10.4118,0.56735,-0.153124
10.4129,0.563358,-0.176238
10.4056,0.565935,-0.19542
10.396,0.570209,-0.203129
10.398,0.574113,-0.212556
10.3963,0.573806,-0.209256
10.3993,0.570764,-0.195924
10.401,0.570691,-0.178542
10.4129,0.568591,-0.172748
10.4298,0.560898,-0.190963
10.4371,0.559948,-0.184851
10.4398,0.562189,-0.194832
10.436,0.563143,-0.178972
10.4349,0.565914,-0.17154
10.4266,0.566603,-0.163078
10.4351,0.563426,-0.172977
10.4278,0.56434,-0.175361
10.4228,0.56669,-0.172828
10.4165,0.567956,-0.166397
10.4073,0.571858,-0.160251
10.4117,0.567254,-0.162663
10.4283,0.566537,-0.158201
10.4328,0.562835,-0.159566
10.4268,0.564514,-0.151924
10.4325,0.562686,-0.158495
10.4297,0.565741,-0.154963
10.4284,0.568578,-0.143786
10.4406,0.567108,-0.15536
10.4568,0.561618,-0.15213
10.4607,0.560965,-0.148906
10.4503,0.564191,-0.163015
10.4582,0.558419,-0.156897
10.4501,0.559552,-0.16043
10.4359,0.56587,-0.165394
10.4287,0.572397,-0.187285
10.4284,0.570084,-0.205498
10.4346,0.568111,-0.207451
10.4336,0.572188,-0.204995
10.4387,0.565741,-0.201255
10.4421,0.568184,-0.183215
10.4308,0.57086,-0.1861
10.4334,0.571091,-0.191506
10.4331,0.568199,-0.175503
10.4462,0.566613,-0.161318
10.4495,0.565811,-0.16384
10.459,0.565215,-0.148509
10.4683,0.562403,-0.143934
10.4639,0.564398,-0.139835
10.4574,0.566752,-0.168419
10.4868,0.556669,-0.168919
10.477,0.557526,-0.176203
10.4457,0.567524,-0.175385
10.427,0.579761,-0.175817
10.4416,0.57509,-0.142794
10.4384,0.577507,-0.140906
10.4345,0.579507,-0.12303
10.4218,0.584741,-0.135092
10.4086,0.595013,-0.141506
10.3938,0.599373,-0.122963
10.4093,0.596634,-0.122628
10.4043,0.597508,-0.0987407
10.394,0.598215,-0.0818263
10.3754,0.605683,-0.115929
10.3758,0.602003,-0.113567
10.3707,0.601698,-0.113532
10.3815,0.600759,-0.123528
10.4179,0.587333,-0.135547
10.4249,0.58784,-0.13347
10.43,0.584996,-0.122748
10.4157,0.588511,-0.131961
10.4212,0.589063,-0.134962
10.4213,0.589095,-0.112522
10.4249,0.591401,-0.12132
10.4197,0.59114,-0.117331
10.4375,0.588651,-0.121962
10.4264,0.59452,-0.12751
10.431,0.588668,-0.146308
10.4358,0.58528,-0.15882
10.4292,0.587081,-0.152957
10.4381,0.586437,-0.149814
10.4287,0.592945,-0.136925
10.4258,0.595357,-0.163315
10.4256,0.599354,-0.183315
10.4174,0.601885,-0.204981
10.4177,0.604966,-0.215889
10.4351,0.600442,-0.186088
10.4243,0.604028,-0.196705
10.4353,0.60542,-0.181998
10.4298,0.605267,-0.184295
10.429,0.60398,-0.195653
10.428,0.605289,-0.187333
10.4249,0.605726,-0.200486
10.4262,0.602869,-0.203114
10.4092,0.605015,-0.196756
10.4118,0.602959,-0.190248
10.4106,0.602358,-0.186694
10.408,0.602695,-0.192826
10.4132,0.601447,-0.205594
10.4021,0.609951,-0.175076
10.4051,0.606263,-0.176591
10.4108,0.606392,-0.168336
10.4209,0.605597,-0.169676
10.3935,0.609734,-0.152399
10.3951,0.607499,-0.161629
10.4006,0.607479,-0.161609
10.3955,0.610751,-0.171361
10.3984,0.61235,-0.165557
10.3931,0.611911,-0.170542
10.3847,0.617299,-0.166966
10.3754,0.621023,-0.155426
10.3788,0.617625,-0.154681
10.3748,0.622565,-0.171276
10.3856,0.618993,-0.175167
10.3711,0.626934,-0.19276
